Cost per message in USD,,
Market,Currency,Rate
Argentina,$,0.061800
Brazil,$,0.062500
Chile,$,0.088900
Colombia,$,0.012500
Egypt,$,0.107300
France,$,0.143200
Germany,$,0.136500
India,$,0.010700
Indonesia,$,0.041100
Israel,$,0.035300
Italy,$,0.069100
Malaysia,$,0.086000
Mexico,$,0.043600
Netherlands,$,0.159700
Nigeria,$,0.051600
Pakistan,$,0.047300
Peru,$,0.070300
Russia,$,0.080200
Saudi Arabia,$,0.045500
South Africa,$,0.037900
Spain,$,0.061500
Turkey,$,0.010900
United Arab Emirates,$,0.038400
United Kingdom,$,0.052900
North America,$,0.025000
Rest of Africa,$,0.022500
Rest of Asia Pacific,$,0.073200
Rest of Central & Eastern Europe,$,0.086000
Rest of Latin America,$,0.074000
Rest of Middle East,$,0.034100
Rest of Western Europe,$,0.059200
Other,$,0.060400
