Module Name,Type,Code,Database Tables,Backend Files,Frontend Files,Purpose
Authentication,Core,AUTH,users;roles;user_roles;login_attempts;password_reset_tokens;refresh_tokens,"backend/controllers/auth.controller.js;backend/routes/auth.routes.js;backend/middleware/auth.js;backend/helpers/security.js","frontend/src/pages/auth/Login.jsx;frontend/src/contexts/AuthContext.jsx","Handle user authentication, session management, and security"
Telegram Channel Integration,Core,TELEGRAM,telegram_channels;telegram_channel_posts;telegram_channel_media;telegram_settings,"backend/controllers/telegram.controller.js;backend/routes/telegram.routes.js;backend/services/telegramService.js;backend/config/telegram.js","frontend/src/pages/telegram/;frontend/src/components/telegram/;frontend/src/contexts/TelegramContext.jsx","Integration with Telegram Bot API for church announcements and notifications"
Website Content Management,Functional,CONTENT,content_items;content_categories;website_settings;content_tags;content_revisions,"backend/controllers/content.controller.js;backend/controllers/announcement.controller.js;backend/routes/content.routes.js;backend/routes/announcement.routes.js","frontend/src/pages/content/;frontend/src/components/announcements/;frontend/src/components/home/","Manage static pages, announcements, sermons, and dynamic content"
Departments,Functional,DEPT,departments;department_members;department_permissions;department_resources;department_activities,"backend/controllers/department.controller.js;backend/routes/department.routes.js","frontend/src/pages/departments/;frontend/src/components/departments/;frontend/src/contexts/DepartmentContext.jsx","Department management, role assignment, and inter-department collaboration"
Gallery,Functional,GALLERY,gallery_albums;gallery_photos;gallery_tags;gallery_comments;telegram_photos_cache,"backend/controllers/gallery.controller.js;backend/routes/gallery.routes.js;backend/helpers/galleryCache.js","frontend/src/pages/gallery/;frontend/src/components/gallery/;frontend/src/contexts/GalleryContext.jsx","Photo gallery management with Telegram integration for storage"
Treasury & Finance,Functional,TREASURY,accounts;funds;journal_entries;expenses;budgets;bank_reconciliations;vendors;projects;fixed_assets;pledges;recurring_payments,"backend/controllers/treasury.controller.js;backend/routes/treasury.routes.js;backend/helpers/finance.js","frontend/src/pages/treasury/;frontend/src/components/treasury/;frontend/src/contexts/TreasuryContext.jsx","Complete church finance management including accounting, budgeting, and reporting"
Payments (M-Pesa/KopoKopo),Functional,PAYMENT,payments;payment_transactions;mpesa_settings;payment_categories;payment_links;refunds,"backend/controllers/payment.controller.js;backend/routes/payment.routes.js;backend/services/kopokopo.js;backend/helpers/paymentNotifications.js","frontend/src/pages/payments/;frontend/src/components/payments/;frontend/src/contexts/PaymentContext.jsx","Online payment processing for tithes, offerings, and donations"
SMS / BlessedTexts,Functional,SMS,sms_messages;sms_templates;sms_credits;sms_usage_logs,"backend/controllers/sms.controller.js;backend/routes/sms.routes.js;backend/services/blessedtexts.js;backend/helpers/sms.js","frontend/src/pages/sms/;frontend/src/components/sms/;frontend/src/contexts/SMSContext.jsx","SMS messaging service integration for church communications"
Documents,Functional,DOC,documents;document_categories;document_versions;document_permissions,"backend/controllers/documents.controller.js;backend/routes/documents.routes.js;backend/helpers/documentStorage.js","frontend/src/pages/documents/;frontend/src/components/documents/;frontend/src/contexts/DocumentContext.jsx","Document management for policies, forms, and church documents"
Approvals,Functional,APPROVAL,approval_requests;approval_history;approval_rules;approval_delegations,"backend/routes/approvals.routes.js;backend/helpers/approvals.js","frontend/src/pages/approvals/;frontend/src/components/approvals/;frontend/src/contexts/ApprovalContext.jsx","Multi-level approval workflow for expenses, content, and actions"
Notifications,Functional,NOTIF,notifications;notification_templates;notification_preferences;notification_logs,"backend/routes/notifications.routes.js;backend/helpers/notify.js","frontend/src/components/notifications/;frontend/src/contexts/NotificationContext.jsx","In-app and push notification system"
Settings & Configuration,Functional,SETTINGS,settings;system_logs;backup_logs;maintenance_schedules,"backend/controllers/settings.controller.js;backend/routes/settings.routes.js;backend/helpers/system.js","frontend/src/pages/settings/;frontend/src/components/settings/;frontend/src/contexts/SettingsContext.jsx","System configuration, website settings, and maintenance controls"
Church Management,Functional,CHURCH,members;member_contacts;member_pledges;member_attendance;member_groups,"backend/controllers/church.controller.js;backend/routes/church.routes.js","frontend/src/pages/church/;frontend/src/components/members/;frontend/src/contexts/ChurchContext.jsx","Member management, groups, and church directory"
Dashboard UI,Frontend,DASHUI,N/A,"N/A","frontend/src/pages/dashboard/;frontend/src/components/dashboard/;frontend/src/layouts/DashboardLayout.jsx","Main dashboard interface with widgets and navigation"
Public Website,Frontend,WEBUI,N/A,"N/A","frontend/src/pages/public/;frontend/src/components/public/;frontend/src/App.jsx","Public-facing church website with content pages"
Admin UI,Frontend,ADMINUI,N/A,"N/A","frontend/src/pages/admin/;frontend/src/components/admin/;frontend/src/components/common/Sidebar.jsx","Administrative interface for managing all modules"
