Source Module,Target Module,Relationship Type,Description,Data Flow
AUTH,NOTIF,triggers,"Auth events trigger notifications","Login/logout events create notifications"
AUTH,DEPT,provides,"Auth provides user context for departments","User roles determine department access"
TELEGRAM,CONTENT,feeds,"Telegram posts feed content system","Channel posts become announcements"
TELEGRAM,GALLERY,stores,"Telegram stores gallery photos","Gallery uses Telegram for photo storage"
CONTENT,APPROVAL,requires,"Content requires approval before publish","Content changes trigger approval workflow"
DEPT,TREASURY,owns,"Departments own budgets and expenses","Department context for all financial records"
DEPT,CONTENT,produces,"Departments produce content","Department-specific announcements and posts"
DEPT,DOC,owns,"Departments own documents","Documents belong to departments"
DEPT,SMS,targets,"Departments target SMS recipients","SMS sent to department members"
DEPT,APPROVAL,requests,"Departments request approvals","Department actions need approval"
TREASURY,APPROVAL,requires,"Expenses require approval","All expenses go through approval workflow"
TREASURY,PAYMENT,initiates,"Treasury initiates payments","Finance team creates payment requests"
TREASURY,SMS,notifies,"Treasury sends payment notifications","Payment confirmations via SMS"
PAYMENT,NOTIF,triggers,"Payments trigger notifications","Payment status updates notify users"
SMS,NOTIF,updates,"SMS status updates notifications","SMS delivery tracked in notifications"
DOC,APPROVAL,requires,"Documents require approval","Document publish requires approval"
GALLERY,APPROVAL,requires,"Gallery uploads require approval","Photo uploads need approval"
APPROVAL,NOTIF,triggers,"Approvals trigger notifications","Approval decisions notify requesters"
SETTINGS,ALL,configures,"Settings configure all modules","Global settings affect all modules"
CONTENT,WEBUI,displays,"Content displays on public website","Content rendered on public pages"
CONTENT,DASHUI,displays,"Content displays in dashboard","Content management in dashboard"
