Module Overview,Code,Name,Type,Description,Key Files
Module Overview,DASHUI,Dashboard UI,Frontend,Main dashboard interface with widgets and navigation,"pages/dashboard/;components/dashboard/;layouts/DashboardLayout.jsx"
Module Overview,WEBUI,Public Website,Frontend,Public-facing church website with content pages,"pages/public/;components/public/;App.jsx"
Module Overview,ADMINUI,Admin UI,Frontend,Administrative interface for managing all modules,"pages/admin/;components/admin/;common/Sidebar.jsx"
DASHUI Features,Widget System,"Create modular dashboard widgets for quick stats recent activities and shortcuts"
DASHUI Features,Navigation,"Build responsive sidebar navigation with collapsible sections"
DASHUI Features,Responsive,"Ensure dashboard works on all screen sizes"
DASHUI Features,Theme Support,"Support light/dark themes and custom color palettes"
DASHUI Prompts,Objective 1,"Build dashboard layout with widget system and responsive design"
DASHUI Prompts,Objective 2,"Create navigation sidebar with module grouping and access control"
DASHUI Prompts,Objective 3,"Implement quick actions and shortcuts for common tasks"
DASHUI Prompts,Objective 4,"Add customizable dashboard with drag-drop widgets"
WEBUI Features,Content Pages,"Display content from CMS with proper formatting"
WEBUI Features,Announcements,"Show announcements with pagination and filtering"
WEBUI Features,Gallery,"Public gallery view with albums and photos"
WEBUI Features,Responsive Design,"Mobile-first responsive design"
WEBUI Features,SEO,"SEO-optimized pages with proper meta tags"
WEBUI Prompts,Objective 1,"Build public website layout with navigation and footer"
WEBUI Prompts,Objective 2,"Create content page templates for different content types"
WEBUI Prompts,Objective 3,"Implement announcement display with filtering and search"
WEBUI Prompts,Objective 4,"Build public gallery with album and photo views"
WEBUI Prompts,Objective 5,"Add contact forms and interactive elements"
WEBUI Prompts,Objective 6,"Implement SEO best practices and performance optimization"
ADMINUI Features,Module Management,"Centralized access to all module management"
ADMINUI Features,User Management,"User and role administration"
ADMINUI Features,System Settings,"System-wide configuration access"
ADMINUI Features,Audit View,"View audit logs and system activity"
ADMINUI Features,Bulk Operations,"Bulk actions for users content and data"
ADMINUI Prompts,Objective 1,"Build admin dashboard with overview stats and quick access"
ADMINUI Prompts,Objective 2,"Create user management interface with role assignment"
ADMINUI Prompts,Objective 3,"Implement system settings management"
ADMINUI Prompts,Objective 4,"Build audit log viewer with filtering and search"
ADMINUI Prompts,Objective 5,"Add bulk operation tools for data management"
